id,label,path,video_path,fighter_id,outcome,frames
hook_hook_PXL_20250430_120111485_001_0,hook,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/hook_hook_PXL_20250430_120111485_001_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/hook_PXL_20250430_120111485_001.mp4,0,successful,15
uppercut_uppercut_PXL_20250430_120111485_002_0,uppercut,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/uppercut_uppercut_PXL_20250430_120111485_002_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/uppercut_PXL_20250430_120111485_002.mp4,0,successful,15
teep_teep_PXL_20250430_120111485_003_0,teep,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/teep_teep_PXL_20250430_120111485_003_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/teep_PXL_20250430_120111485_003.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_120111485_004_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_120111485_004_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_120111485_004.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_124449120_001_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_124449120_001_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_001.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_124449120_045_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_124449120_045_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_045.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_124449120_070_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_124449120_070_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_070.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_124449120_071_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_124449120_071_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_071.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_124449120_072_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_124449120_072_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_072.mp4,0,successful,15
roundhouse_roundhouse_PXL_20250430_124449120_073_0,roundhouse,/content/drive/MyDrive/RTM-FASS/data/strike_dataset/roundhouse_roundhouse_PXL_20250430_124449120_073_0.npy,/content/drive/MyDrive/RTM-FASS/data/raw_videos/strikes/roundhouse_PXL_20250430_124449120_073.mp4,0,successful,15
