label,start,end,start_s,end_s,src,out
uppercut,1097,1250,18.283613640284493,20.833652735055256,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_000.mp4
uppercut,1251,1321,20.8503196572433,22.017004210406395,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_001.mp4
uppercut,1322,1400,22.03367113259444,23.333691063261885,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_002.mp4
uppercut,1401,1458,23.35035798544993,24.30037255016845,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_003.mp4
uppercut,1459,1519,24.31703947235649,25.317054803639145,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_004.mp4
uppercut,1520,1573,25.33372172582719,26.21706860179353,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_005.mp4
uppercut,1574,1620,26.233735523981576,27.00041394463161,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_006.mp4
uppercut,1621,1677,27.01708086681965,27.95042850935013,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_007.mp4
uppercut,1678,1792,27.967095431538173,29.867124560975213,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_008.mp4
uppercut,1793,1859,29.883791483163257,30.983808347574172,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_009.mp4
uppercut,1860,1917,31.00047526976222,31.950489834480734,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_010.mp4
uppercut,1918,1958,31.967156756668786,32.63383364419055,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_011.mp4
uppercut,1959,2043,32.6505005663786,34.05052203017431,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_012.mp4
uppercut,2056,2067,34.267192018618886,34.45052816268737,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_013.mp4
uppercut,1977,2030,32.95050516576339,33.833852041729735,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_014.mp4
uppercut,2031,2091,33.85051896391778,34.85053429520043,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_015.mp4
uppercut,2092,2144,34.86720121738848,35.73388117116677,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_016.mp4
uppercut,2145,2193,35.750548093354816,36.55056035838094,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_017.mp4
uppercut,2194,2242,36.567227280568986,37.36723954559511,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_018.mp4
uppercut,2243,2299,37.38390646778315,38.31725411031363,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_019.mp4
uppercut,2300,2342,38.33392103250167,39.033931764399526,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_020.mp4
uppercut,2343,2388,39.05059868658757,39.80061018504956,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_021.mp4
uppercut,2389,2418,39.8172771072376,40.30061785069088,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_022.mp4
uppercut,2419,2456,40.31728477287893,40.93396089383656,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_023.mp4
uppercut,2457,2499,40.95062781602461,41.65063854792246,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_024.mp4
uppercut,2500,2547,41.66730547011051,42.45065081294859,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_025.mp4
uppercut,2548,2583,42.46731773513663,43.05066001171818,C:\Users\ylop\Desktop\TRAINING FOOTAGE\PXL_20250430_123425036.mp4,C:\Users\ylop\Desktop\annotator\extracted_techniques\strikes\uppercut\uppercut_mirrored_PXL_20250430_123425036_026.mp4
